index,LINEA,estacion_actual,siguiente_estacion,A2A_n,A2A_p50,A2A_p10,A2A_p25,A2A_p75,A2A_p90,A2A_mean_trim10,A2A_std,A2A_discard_ratio,D2A_n,D2A_p50,D2A_p10,D2A_p25,D2A_p75,D2A_p90,D2A_mean_trim10,D2A_std,D2A_discard_ratio,ETA_usuario_s,ETA_operativo_s,ETA_sugerido_s
52,Linea_1,PASEO DE LAS LETRAS,SAN AGUSTÍN,28.0,413.0,186.4,300.0,441.5,483.4,372.4,128.6636723388158,0.1428571428571429,1.0,55.0,55.0,55.0,55.0,55.0,55.0,,0.0,413.0,55.0,413.0
53,Linea_1,PASEO DE LAS LETRAS,SAN SEBASTIÁN,204.0,505.0,373.6,437.0,676.0,969.4,562.8616352201258,225.45309616501748,0.03431372549019607,5.0,300.0,300.0,300.0,300.0,300.0,300.0,0.0,0.0,505.0,300.0,505.0
54,Linea_1,PASEO DE LAS LETRAS,SUR 2,714.0,120.0,35.400000000000006,65.0,131.0,179.60000000000002,104.1605415860735,50.921596067143525,0.09663865546218486,579.0,97.0,51.300000000000004,60.0,121.0,136.80000000000007,92.03990610328638,45.00620954094121,0.08117443868739205,120.0,97.0,120.0
55,Linea_1,SAN AGUSTÍN,BEATAS DE BELÉN,347.0,368.5,180.2,265.25,539.75,687.1000000000004,392.2481203007519,196.79171244637539,0.043227665706051854,340.0,260.0,94.0,172.0,452.5,592.0000000000002,297.319391634981,194.31638275456314,0.038235294117647034,368.5,260.0,368.5
56,Linea_1,SAN AGUSTÍN,CENTRO CÍVICO,1.0,506.0,506.0,506.0,506.0,506.0,506.0,,0.0,0.0,,,,,,,,,506.0,,506.0
57,Linea_1,SAN AGUSTÍN,GÓMEZ CARRILLO,31.0,13.0,7.6000000000000005,10.0,24.0,58.4,19.6,18.15342386519845,0.06451612903225812,3.0,7.0,5.4,6.0,33.0,48.6,23.666666666666668,30.615900008546756,0.0,13.0,7.0,13.0
58,Linea_1,SAN AGUSTÍN,MERCADO CENTRAL,51.0,539.0,385.0,446.0,906.5,1100.0,642.829268292683,295.45545034277995,0.0,2.0,533.0,346.6,416.5,649.5,719.4,533.0,329.51176003293114,0.0,539.0,533.0,539.0
59,Linea_1,SAN AGUSTÍN,PARQUE CENTENARIO,42948.0,149.0,119.0,120.0,180.0,202.0,151.1644341662662,43.867583420991615,0.030967681847815953,28116.0,61.0,60.0,60.0,120.0,133.0,81.10336483586724,39.0439504305089,0.026283966424811456,149.0,61.0,149.0
60,Linea_1,SAN AGUSTÍN,PASEO DE LAS LETRAS,4.0,614.0,275.6,402.5,657.5,683.6,502.0,272.8241191683756,0.25,2.0,185.5,93.9,128.25,242.75,277.1,185.5,161.92745289171938,0.0,614.0,185.5,614.0
61,Linea_1,SAN AGUSTÍN,SAN SEBASTIÁN,233.0,383.0,164.0,300.0,457.0,540.0,376.0282485875706,131.10611868342377,0.05150214592274682,141.0,95.0,11.0,59.25,137.0,182.0,95.68627450980392,66.0728164933589,0.1063829787234043,383.0,95.0,383.0
62,Linea_1,SAN AGUSTÍN,SUR 2,5.0,32.0,10.4,17.0,12574.0,12862.0,5136.6,7010.535699930498,0.0,2.0,932.5,204.10000000000002,477.25,1387.75,1660.9,932.5,1287.641448540703,0.0,32.0,932.5,32.0
63,Linea_1,SAN SEBASTIÁN,BEATAS DE BELÉN,78.0,494.0,325.70000000000005,426.75,594.0,831.0,516.25,178.02787762843244,0.05128205128205132,11.0,270.5,120.3,173.0,300.0,326.2,243.5,93.55117434977619,0.09090909090909094,494.0,270.5,494.0
64,Linea_1,SAN SEBASTIÁN,CENTRO CÍVICO,28.0,23.0,4.5,7.0,30.25,38.0,20.272727272727273,14.287218602114807,0.0714285714285714,2.0,17.0,12.2,14.0,20.0,21.8,17.0,8.48528137423857,0.0,23.0,17.0,23.0
65,Linea_1,SAN SEBASTIÁN,CORREOS,49.0,470.0,384.8,401.5,571.5,653.4000000000001,489.0,113.79810827379187,0.20408163265306123,5.0,60.0,6.6,9.0,137.0,234.8,102.2,122.73019188447479,0.0,470.0,60.0,470.0
66,Linea_1,SAN SEBASTIÁN,GÓMEZ CARRILLO,3.0,134.0,118.0,124.0,177.5,203.6,156.33333333333334,56.88878038184097,0.0,3.0,74.0,58.0,64.0,117.5,143.6,96.33333333333333,56.88878038184096,0.0,134.0,74.0,134.0
67,Linea_1,SAN SEBASTIÁN,MERCADO CENTRAL,43032.0,398.0,242.0,312.0,509.0,632.4000000000015,409.4321168328303,151.05969288102818,0.04729038854805723,42244.0,188.0,80.70000000000027,124.0,278.75,406.0,201.56105672690762,122.02044431503796,0.05695483382255473,398.0,188.0,398.0
68,Linea_1,SAN SEBASTIÁN,PARQUE CENTENARIO,43.0,16.5,9.100000000000001,11.25,60.0,60.0,32.794117647058826,24.089505958584695,0.023255813953488413,3.0,8.0,5.6,6.5,8.5,8.8,7.333333333333333,2.0816659994661326,0.0,16.5,8.0,16.5
69,Linea_1,SAN SEBASTIÁN,PASEO DE LAS LETRAS,11.0,686.0,535.6,605.0,1039.0,1190.4,817.4444444444445,282.2025474331828,0.18181818181818177,2.0,474.5,298.9,364.75,584.25,650.1,474.5,310.41987694089437,0.0,686.0,474.5,686.0
70,Linea_1,SAN SEBASTIÁN,SUR 2,19.0,15887.0,11334.4,13343.0,17512.0,22109.2,15944.733333333334,4179.08907714419,0.10526315789473684,12.0,16.0,5.9,7.75,35.0,568.1999999999998,80.125,325.0045469767393,0.16666666666666663,15887.0,16.0,15887.0
71,Linea_1,SUR 2,BEATAS DE BELÉN,16.0,644.0,43.0,263.0,29467.25,35594.0,10336.57142857143,16138.940679688367,0.0,11.0,6.0,3.0,3.5,296.5,300.0,106.11111111111111,146.30864014752575,0.0,644.0,6.0,644.0
72,Linea_1,SUR 2,CENTRO CÍVICO,434.0,101.5,61.0,80.25,126.0,155.0,103.28614457831326,34.67703260494412,0.04608294930875578,429.0,45.0,26.0,30.0,60.0,66.0,45.59347181008902,16.495809707440877,0.023310023310023298,101.5,45.0,101.5
73,Linea_1,SUR 2,GÓMEZ CARRILLO,42735.0,120.0,60.0,119.0,180.0,182.0,131.23896981211738,48.32436162401889,0.030139230139230144,23112.0,60.0,60.0,60.0,61.0,75.0,61.18154628383431,9.500935220685657,0.27673935617860856,120.0,60.0,120.0
74,Linea_1,SUR 2,MERCADO CENTRAL,9.0,287.0,25.4,41.0,360.0,538.2,248.33333333333334,226.64123631854818,0.0,7.0,9.0,4.6,5.5,259.0,321.40000000000003,125.14285714285714,153.884619733345,0.0,287.0,9.0,287.0
75,Linea_1,SUR 2,PARQUE CENTENARIO,34.0,375.0,284.0,300.0,456.0,560.0,384.08,111.64532936891034,0.08823529411764708,12.0,64.0,48.300000000000004,60.0,88.75,100.3,70.7,24.429242288451743,0.0,375.0,64.0,375.0
76,Linea_1,SUR 2,PASEO DE LAS LETRAS,368.0,225.0,60.0,103.5,553.5,844.2000000000005,309.1943319838057,339.59075854576696,0.1657608695652174,261.0,217.0,49.60000000000001,79.0,513.0,754.9999999999999,286.4926829268293,300.1882348064224,0.02298850574712641,225.0,217.0,225.0
77,Linea_1,SUR 2,SAN AGUSTÍN,495.0,181.0,120.0,121.0,244.0,312.20000000000005,197.2776349614396,82.62129915899996,0.02020202020202022,289.0,60.5,48.0,60.0,110.25,121.0,76.33771929824562,38.77593355347249,0.01730103806228378,181.0,60.5,181.0
78,Linea_1,SUR 2,SAN SEBASTIÁN,16.0,300.0,9.4,23.0,476.0,674.3999999999999,282.46153846153845,287.9572058152954,0.0625,8.0,79.5,40.1,61.25,300.0,300.0,147.625,128.63562881254944,0.0,300.0,79.5,300.0
79,Linea_12,BOLÍVAR DIRECCIÓN CENMA,DON BOSCO,60.0,11.0,4.800000000000001,7.0,13.0,20.0,10.75609756097561,5.57135225832962,0.18333333333333335,17.0,9.0,2.6,3.0,218.0,283.6,91.06666666666666,136.89377053673664,0.0,11.0,9.0,11.0
80,Linea_12,BOLÍVAR DIRECCIÓN CENMA,EL CARMEN,41.0,481.5,350.40000000000003,360.75,540.5,601.3000000000001,466.46875,110.28209748477323,0.024390243902439046,5.0,4.0,1.3,1.75,6.0,6.0,3.75,2.6299556396765835,0.19999999999999996,481.5,4.0,481.5
81,Linea_12,BOLÍVAR DIRECCIÓN CENMA,LAS CHARCAS DIRECCIÓN CENMA,16.0,453.0,338.5,401.5,598.5,620.5,478.85714285714283,126.80687415646415,0.0,1.0,59.0,59.0,59.0,59.0,59.0,59.0,,0.0,453.0,59.0,453.0
82,Linea_12,BOLÍVAR DIRECCIÓN CENMA,MARISCAL DIRECCIÓN CENMA,259.0,300.0,240.0,300.0,360.0,412.19999999999993,316.1381215469613,56.23066793016971,0.13127413127413123,86.0,60.0,60.0,60.0,60.0,79.60000000000001,61.91836734693877,9.989357282273792,0.313953488372093,300.0,60.0,300.0
83,Linea_12,BOLÍVAR DIRECCIÓN CENMA,PLAZA BARRIOS,22.0,330.0,140.0,251.0,546.0,697.0,366.29411764705884,250.926948200733,0.045454545454545414,20.0,147.0,26.6,55.0,186.5,280.59999999999997,141.58823529411765,102.2052458570584,0.050000000000000044,330.0,147.0,330.0
84,Linea_12,BOLÍVAR DIRECCIÓN CENMA,REFORMITA DIRECCIÓN CENMA,64.0,420.0,300.0,354.0,481.5,567.2000000000002,413.3921568627451,102.42753985944887,0.015625,7.0,7.0,1.5,2.25,11.75,16.0,8.166666666666666,7.467708260682569,0.1428571428571429,420.0,7.0,420.0
85,Linea_12,BOLÍVAR DIRECCIÓN CENMA,SANTA CECILIA,172844.0,140.0,61.0,120.0,180.0,224.0,148.86977295482654,50.36019725549525,0.01766911203165855,135858.0,63.0,60.0,60.0,120.0,148.0,87.29693140794224,40.51360281842772,0.011143988576307606,140.0,63.0,140.0
86,Linea_12,BOLÍVAR DIRECCIÓN CENMA,TRÉBOL,288.0,180.0,60.0,120.0,240.0,300.0,183.3711790393013,76.33841315779016,0.01041666666666663,66.0,60.0,7.0,33.0,60.0,60.0,48.91836734693877,21.7798849395065,0.0757575757575758,180.0,60.0,180.0
87,Linea_12,BOLÍVAR DIRECCIÓN CENTRO,DON BOSCO,172063.0,86.0,60.0,60.0,120.0,136.0,90.72827406573516,34.548130522286954,0.012658154280699496,103236.0,60.0,16.0,33.0,65.0,81.0,53.34508098380324,25.840998541467673,0.031151923747529953,86.0,60.0,86.0
88,Linea_12,BOLÍVAR DIRECCIÓN CENTRO,JAVIER,2.0,1520.0,424.0,835.0,2205.0,2616.0,1520.0,1937.4725804511402,0.0,0.0,,,,,,,,,1520.0,,1520.0
89,Linea_12,BOLÍVAR DIRECCIÓN CENTRO,MARISCAL DIRECCIÓN CENTRO,1.0,8322.0,8322.0,8322.0,8322.0,8322.0,8322.0,,0.0,0.0,,,,,,,,,8322.0,,8322.0
90,Linea_12,BOLÍVAR DIRECCIÓN CENTRO,MONTE MARÍA,1.0,2538.0,2538.0,2538.0,2538.0,2538.0,2538.0,,0.0,1.0,565.0,565.0,565.0,565.0,565.0,565.0,,0.0,2538.0,565.0,2538.0
91,Linea_12,BOLÍVAR DIRECCIÓN CENTRO,PLAZA MUNICIPAL,2818.0,1025.0,496.0,618.5,1422.0,1615.1999999999998,1040.0353151542245,443.7161796048787,0.008161816891412377,1509.0,447.0,227.60000000000005,300.0,716.0,956.3999999999999,501.6260236578708,299.96525360655255,0.09012591119946989,1025.0,447.0,1025.0
92,Linea_12,BOLÍVAR DIRECCIÓN CENTRO,SANTA CECILIA,5.0,29.5,4.9,6.25,54.0,57.6,30.75,29.364093720052047,0.19999999999999996,0.0,,,,,,,,,29.5,,29.5
93,Linea_12,BOLÍVAR DIRECCIÓN CENTRO,TRÉBOL DIRECCIÓN CENTRO,2.0,3312.5,2540.1,2829.75,3795.25,4084.9,3312.5,1365.4231944712233,0.0,0.0,,,,,,,,,3312.5,,3312.5
94,Linea_12,CENMA,BOLÍVAR DIRECCIÓN CENMA,727.0,3199.0,2021.8,2527.25,3785.0,4313.500000000001,3176.40625,1051.3642524640302,0.17744154057771666,321.0,60.0,9.0,34.0,60.5,77.40000000000003,53.202429149797574,24.52271701732187,0.04361370716510904,3199.0,60.0,3199.0
95,Linea_12,CENMA,DON BOSCO,31701.0,2079.0,1811.0,1938.0,2232.0,2391.0,2084.781823300333,238.4286768563837,0.15961641588593423,30040.0,175.0,71.0,120.0,203.0,250.0,164.25018036752536,64.71386890404159,0.019540612516644518,2079.0,175.0,2079.0
